idcompra,idcanalvenda,bandeira,Data,Preço,Preço_com_frete,Nome_Departamento,estado,cliente_Log,idade,renda,Faixa de Preço,Faixa de Idade,Faixa de Renda,Mes,Dia_da_Semana,Nome_Estado
450895,Internet,A,2023-02-21,87.92,90.24,Acessorios_e_Inovacoes,MG,9534,65,6935,até 500,50 a 79,4.000 a 9.999,FEB,Terça-feira,Minas Gerais
95875,Internet,A,2023-01-19,119.92,135.84,Decoracao,BA,4052,48,11719,até 500,35 a 49,10.000 a 14.999,JAN,Quinta-feira,Bahia
189920,Mobile,A,2023-02-01,777.6,789.1600000000001,Acessorios_e_Inovacoes,RJ,18391,57,7604,500 a 1.499,50 a 79,4.000 a 9.999,FEB,Quarta-feira,Rio de Janeiro
215275,Mobile,A,2023-01-12,119.92,128.736,Brinquedos,PE,5894,55,7574,até 500,50 a 79,4.000 a 9.999,JAN,Quinta-feira,Pernambuco
359080,Internet,B,2023-02-24,159.92000000000002,171.84,Decoracao,PR,17169,55,4176,até 500,50 a 79,4.000 a 9.999,FEB,Sexta-feira,Paraná
453940,Internet,A,2023-02-14,39.92,41.512,Bebes,SC,17079,54,10001,até 500,50 a 79,10.000 a 14.999,FEB,Terça-feira,Santa Catarina
475580,Internet,A,2023-03-26,214.08,215.68,Bebes,RS,4775,22,3294,até 500,20 a 34,2.000 a 3.999,MAR,Domingo,Rio Grande do Sul
56920,Mobile,A,2023-03-18,179.92000000000002,193.24,Audio,RJ,5473,37,12679,até 500,35 a 49,10.000 a 14.999,MAR,Sábado,Rio de Janeiro
403965,Aplicativo,B,2023-04-05,992.8799999999999,1008.7520000000001,Telefones_e_Celulares,CE,18164,59,1682,500 a 1.499,50 a 79,até 2000,APR,Quarta-feira,Ceará
417020,Mobile,B,2023-01-02,239.2,247.11999999999998,Acessorios_e_Inovacoes,MG,22359,28,3389,até 500,20 a 34,2.000 a 3.999,JAN,Segunda-feira,Minas Gerais
429670,Aplicativo,B,2023-01-04,519.2,535.12,Eletrodomesticos,SP,24154,50,4542,500 a 1.499,50 a 79,4.000 a 9.999,JAN,Quarta-feira,São Paulo
470325,Internet,A,2023-04-10,69.36,74.952,Bebes,RJ,6465,57,14508,até 500,50 a 79,10.000 a 14.999,APR,Segunda-feira,Rio de Janeiro
485500,Aplicativo,A,2023-03-18,127.92,133.648,Perfumaria,RN,11846,88,12507,até 500,80 ou mais,10.000 a 14.999,MAR,Sábado,Rio Grande do Norte
489695,Internet,A,2023-04-29,543.2,599.192,Moveis,SP,10256,75,1994,500 a 1.499,50 a 79,até 2000,APR,Sábado,São Paulo
108495,Aplicativo,A,2023-04-26,131.2,132.8,Bebes,SP,8215,43,5751,até 500,35 a 49,4.000 a 9.999,APR,Quarta-feira,São Paulo
199330,Mobile,A,2023-03-13,107.92,111.112,Bebes,RJ,5851,47,10693,até 500,35 a 49,10.000 a 14.999,MAR,Segunda-feira,Rio de Janeiro
267815,Aplicativo,B,2023-01-23,759.2,767.12,Eletrodomesticos,SP,10368,78,6901,500 a 1.499,50 a 79,4.000 a 9.999,JAN,Segunda-feira,São Paulo
362455,Internet,A,2023-03-14,3359.2,3367.12,Eletrodomesticos,MG,2552,47,7037,3.000 a 4.999,35 a 49,4.000 a 9.999,MAR,Terça-feira,Minas Gerais
373355,Mobile,A,2023-02-25,1135.04,1139.816,Telefones_e_Celulares,RS,3871,82,2232,500 a 1.499,80 ou mais,2.000 a 3.999,FEB,Sábado,Rio Grande do Sul
411810,Mobile,A,2023-02-25,127.92,129.512,Bebes,SP,410,60,10664,até 500,50 a 79,10.000 a 14.999,FEB,Sábado,São Paulo
493305,Internet,B,2023-04-05,199.2,214.984,Relogios,SP,23260,21,10870,até 500,20 a 34,10.000 a 14.999,APR,Quarta-feira,São Paulo
433970,Mobile,A,2023-02-14,47.519999999999996,52.272000000000006,Bebes,MG,25558,32,8450,até 500,20 a 34,4.000 a 9.999,FEB,Terça-feira,Minas Gerais
67265,Internet,A,2023-01-19,207.2,229.02399999999997,Esporte_e_Lazer,SP,15386,87,14973,até 500,80 ou mais,10.000 a 14.999,JAN,Quinta-feira,São Paulo
81225,Mobile,A,2023-02-25,175.92000000000002,189.512,Brinquedos,GO,4659,76,6179,até 500,50 a 79,4.000 a 9.999,FEB,Sábado,Goiás
414015,Mobile,A,2023-01-31,688.5600000000001,732.144,Audio,MG,24101,72,10143,500 a 1.499,50 a 79,10.000 a 14.999,JAN,Terça-feira,Minas Gerais
439775,Mobile,A,2023-01-24,75.92,79.112,Bebes,RJ,14138,57,12495,até 500,50 a 79,10.000 a 14.999,JAN,Terça-feira,Rio de Janeiro
443495,Internet,B,2023-03-29,111.2,115.12,Acessorios_e_Inovacoes,MG,19805,65,7988,até 500,50 a 79,4.000 a 9.999,MAR,Quarta-feira,Minas Gerais
27590,Internet,A,2023-01-28,87.92,90.24,Acessorios_e_Inovacoes,PR,16733,46,12198,até 500,35 a 49,10.000 a 14.999,JAN,Sábado,Paraná
40850,Aplicativo,B,2023-04-06,335.2,373.952,Esporte_e_Lazer,SP,21402,56,8446,até 500,50 a 79,4.000 a 9.999,APR,Quinta-feira,São Paulo
48885,Mobile,A,2023-04-05,122.32000000000001,127.91199999999999,Bebes,RJ,17784,64,13338,até 500,50 a 79,10.000 a 14.999,APR,Quarta-feira,Rio de Janeiro
184350,Mobile,A,2023-03-13,121.52000000000001,131.512,Ferramentas,RJ,6762,65,5610,até 500,50 a 79,4.000 a 9.999,MAR,Segunda-feira,Rio de Janeiro
213835,Internet,A,2023-03-31,3359.2,3399.12,Eletrodomesticos,DF,16982,19,3250,3.000 a 4.999,até 20,2.000 a 3.999,MAR,Sexta-feira,Distrito Federal
294190,Mobile,A,2023-01-18,137.28,138.88,Bebes,RJ,14163,47,3280,até 500,35 a 49,2.000 a 3.999,JAN,Quarta-feira,Rio de Janeiro
437715,Internet,A,2023-04-17,87.92,90.24,Acessorios_e_Inovacoes,BA,6790,49,2341,até 500,35 a 49,2.000 a 3.999,APR,Segunda-feira,Bahia
19775,Mobile,A,2023-01-07,2268.4,2282.728,TVs_e_Acessorios,SP,4101,29,5858,1.500 a 2.999,20 a 34,4.000 a 9.999,JAN,Sábado,São Paulo
67510,Aplicativo,B,2023-04-05,87.92,91.912,Eletroportateis,SP,10266,72,4341,até 500,50 a 79,4.000 a 9.999,APR,Quarta-feira,São Paulo
87785,Mobile,A,2023-04-30,119.92,123.84,Acessorios_e_Inovacoes,RJ,7283,23,12903,até 500,20 a 34,10.000 a 14.999,APR,Domingo,Rio de Janeiro
123750,Internet,A,2023-03-14,471.2,515.072,Brinquedos,SP,22620,80,2783,até 500,80 ou mais,2.000 a 3.999,MAR,Terça-feira,São Paulo
164835,Mobile,A,2023-01-21,83.92,85.512,Bebes,PR,3331,43,6780,até 500,35 a 49,4.000 a 9.999,JAN,Sábado,Paraná
395695,Mobile,A,2023-03-30,75.92,77.512,Bebes,SP,2198,63,4769,até 500,50 a 79,4.000 a 9.999,MAR,Quinta-feira,São Paulo
410215,Mobile,A,2023-04-30,93.6,95.184,Bebes,RJ,11033,55,1943,até 500,50 a 79,até 2000,APR,Domingo,Rio de Janeiro
463180,Aplicativo,B,2023-04-07,43.2,50.4,Produtos_de_Limpeza,RJ,9559,65,14906,até 500,50 a 79,10.000 a 14.999,APR,Sexta-feira,Rio de Janeiro
488970,Internet,A,2023-03-04,111.67999999999999,114.88,Bebes,SP,6055,28,11796,até 500,20 a 34,10.000 a 14.999,MAR,Sábado,São Paulo
92550,Aplicativo,A,2023-04-11,51.92,57.512,Bebes,SP,12219,28,9704,até 500,20 a 34,4.000 a 9.999,APR,Terça-feira,São Paulo
111495,Mobile,A,2023-04-15,251.35999999999999,303.712,Moveis,SP,18537,51,10927,até 500,50 a 79,10.000 a 14.999,APR,Sábado,São Paulo
122980,Mobile,A,2023-03-30,1503.2,1515.1200000000001,Eletrodomesticos,RJ,16810,35,3980,1.500 a 2.999,35 a 49,2.000 a 3.999,MAR,Quinta-feira,Rio de Janeiro
295595,Mobile,A,2023-03-22,134.4,136.0,Bebes,MG,26712,53,4879,até 500,50 a 79,4.000 a 9.999,MAR,Quarta-feira,Minas Gerais
354580,Internet,A,2023-01-23,1039.2,1079.1200000000001,Eletrodomesticos,RJ,21116,60,5458,500 a 1.499,50 a 79,4.000 a 9.999,JAN,Segunda-feira,Rio de Janeiro
466245,Internet,A,2023-01-29,69.576,78.904,Perfumaria,SP,27241,62,8829,até 500,50 a 79,4.000 a 9.999,JAN,Domingo,São Paulo
20360,Internet,A,2023-02-19,95.92,103.84,Acessorios_e_Inovacoes,SP,4564,33,11514,até 500,20 a 34,10.000 a 14.999,FEB,Domingo,São Paulo
124390,Mobile,A,2023-04-13,29.52,37.512,Brinquedos,RJ,17753,84,2848,até 500,80 ou mais,2.000 a 3.999,APR,Quinta-feira,Rio de Janeiro
160715,Internet,A,2023-03-18,383.91999999999996,440.79200000000003,Eletroportateis,CE,11272,20,5387,até 500,20 a 34,4.000 a 9.999,MAR,Sábado,Ceará
453085,Mobile,A,2023-04-05,127.92,135.91199999999998,Bebes,MG,19864,72,4232,até 500,50 a 79,4.000 a 9.999,APR,Quarta-feira,Minas Gerais
474645,Internet,A,2023-03-04,611.28,635.2,Moveis,SP,15254,23,10009,500 a 1.499,20 a 34,10.000 a 14.999,MAR,Sábado,São Paulo
487350,Mobile,A,2023-03-08,554.04,572.296,Moveis,RJ,21554,24,9169,500 a 1.499,20 a 34,4.000 a 9.999,MAR,Quarta-feira,Rio de Janeiro
15775,Aplicativo,A,2023-04-24,463.2,527.12,Eletrodomesticos,SP,518,55,5358,até 500,50 a 79,4.000 a 9.999,APR,Segunda-feira,São Paulo
17325,Mobile,A,2023-03-18,611.28,627.2,Moveis,MG,5608,80,7381,500 a 1.499,80 ou mais,4.000 a 9.999,MAR,Sábado,Minas Gerais
30300,Aplicativo,B,2023-04-09,265.91999999999996,272.312,Eletroportateis,SP,15398,50,2082,até 500,50 a 79,2.000 a 3.999,APR,Domingo,São Paulo
50290,Mobile,A,2023-03-12,143.76,145.344,Bebes,DF,2278,87,8674,até 500,80 ou mais,4.000 a 9.999,MAR,Domingo,Distrito Federal
235420,Mobile,B,2023-03-21,1159.2,1199.1200000000001,Eletrodomesticos,SP,20951,69,1994,500 a 1.499,50 a 79,até 2000,MAR,Terça-feira,São Paulo
275920,Aplicativo,A,2023-01-25,69.52000000000001,72.712,Bebes,MG,19693,86,13320,até 500,80 ou mais,10.000 a 14.999,JAN,Quarta-feira,Minas Gerais
319460,Mobile,B,2023-01-10,227.24,235.23200000000003,Moveis,CE,10268,59,5472,até 500,50 a 79,4.000 a 9.999,JAN,Terça-feira,Ceará
416145,Internet,A,2023-02-03,87.92,90.24,Acessorios_e_Inovacoes,SP,4175,81,10173,até 500,80 ou mais,10.000 a 14.999,FEB,Sexta-feira,São Paulo
429115,Mobile,B,2023-03-24,103.92,119.91199999999999,Eletroportateis,PR,18264,18,11157,até 500,até 20,10.000 a 14.999,MAR,Sexta-feira,Paraná
443600,Mobile,B,2023-03-29,87.12,93.136,Acessorios_e_Inovacoes,PR,4463,28,2836,até 500,20 a 34,2.000 a 3.999,MAR,Quarta-feira,Paraná
427050,Mobile,B,2023-04-07,455.2,539.208,Moveis,MG,2091,32,10109,até 500,20 a 34,10.000 a 14.999,APR,Sexta-feira,Minas Gerais
438430,Internet,A,2023-01-24,87.2,95.2,Perfumaria,SC,18315,18,6385,até 500,até 20,4.000 a 9.999,JAN,Terça-feira,Santa Catarina
448555,Mobile,A,2023-01-10,391.91999999999996,403.04,Utilidades_Domesticas,RJ,12257,34,14101,até 500,20 a 34,10.000 a 14.999,JAN,Terça-feira,Rio de Janeiro
25275,Internet,A,2023-01-09,415.91999999999996,423.328,Eletroportateis,RJ,27030,67,11371,até 500,50 a 79,10.000 a 14.999,JAN,Segunda-feira,Rio de Janeiro
65740,Mobile,B,2023-03-13,299.91999999999996,307.11199999999997,Eletroportateis,RJ,5899,51,12537,até 500,50 a 79,10.000 a 14.999,MAR,Segunda-feira,Rio de Janeiro
84880,Aplicativo,A,2023-03-31,431.2,439.12,Eletrodomesticos,MG,8214,64,3191,até 500,50 a 79,2.000 a 3.999,MAR,Sexta-feira,Minas Gerais
446380,Mobile,A,2023-03-09,906.5891285439033,1703.1200000000001,Eletrodomesticos,MS,13024,75,8340,500 a 1.499,50 a 79,4.000 a 9.999,MAR,Quinta-feira,Mato Grosso do Sul
158250,Mobile,A,2023-04-24,71.92,75.84,Acessorios_e_Inovacoes,PB,16730,52,5613,até 500,50 a 79,4.000 a 9.999,APR,Segunda-feira,Paraíba
159930,Aplicativo,B,2023-04-28,159.2,167.192,Acessorios_e_Inovacoes,SC,27636,31,9436,até 500,20 a 34,4.000 a 9.999,APR,Sexta-feira,Santa Catarina
431555,Mobile,A,2023-03-02,105.52000000000001,107.112,Bebes,SP,8716,65,12013,até 500,50 a 79,10.000 a 14.999,MAR,Quinta-feira,São Paulo
480415,Aplicativo,A,2023-04-05,72.128,77.72,Bebes,RJ,1301,72,13840,até 500,50 a 79,10.000 a 14.999,APR,Quarta-feira,Rio de Janeiro
485760,Mobile,A,2023-02-12,71.92,81.44,Utilidades_Domesticas,CE,9290,51,10981,até 500,50 a 79,10.000 a 14.999,FEB,Domingo,Ceará
117900,Mobile,B,2023-03-13,143.64000000000001,159.632,Moveis,RS,5535,66,9937,até 500,50 a 79,4.000 a 9.999,MAR,Segunda-feira,Rio Grande do Sul
133165,Mobile,A,2023-01-08,71.92,79.84,Ar_e_Ventilacao,SP,18440,52,5574,até 500,50 a 79,4.000 a 9.999,JAN,Domingo,São Paulo
287135,Mobile,B,2023-03-30,207.92,211.84,Acessorios_e_Inovacoes,SP,10572,55,4768,até 500,50 a 79,4.000 a 9.999,MAR,Quinta-feira,São Paulo
294370,Aplicativo,A,2023-01-22,83.92,85.512,Bebes,MG,20544,68,6021,até 500,50 a 79,4.000 a 9.999,JAN,Domingo,Minas Gerais
359725,Internet,B,2023-01-24,399.91999999999996,408.64,Automotivo,SP,22138,86,11814,até 500,80 ou mais,10.000 a 14.999,JAN,Terça-feira,São Paulo
412045,Aplicativo,A,2023-02-01,103.92,108.72,Perfumaria,RJ,26488,41,11973,até 500,35 a 49,10.000 a 14.999,FEB,Quarta-feira,Rio de Janeiro
461500,Mobile,B,2023-04-11,112.0,121.26400000000001,Beleza_e_Saude,RJ,7023,53,14769,até 500,50 a 79,10.000 a 14.999,APR,Terça-feira,Rio de Janeiro
24415,Internet,A,2023-03-31,47.92,51.839999999999996,Acessorios_e_Inovacoes,SP,10097,64,4462,até 500,50 a 79,4.000 a 9.999,MAR,Sexta-feira,São Paulo
76345,Mobile,A,2023-02-11,107.92,109.51199999999999,Bebes,RJ,85,33,11780,até 500,20 a 34,10.000 a 14.999,FEB,Sábado,Rio de Janeiro
125490,Mobile,A,2023-02-20,1519.2,1553.3600000000001,Ar_e_Ventilacao,RS,22251,83,1531,1.500 a 2.999,80 ou mais,até 2000,FEB,Segunda-feira,Rio Grande do Sul
168505,Internet,B,2023-01-13,559.2,564.448,Telefones_e_Celulares,BA,13653,63,6977,500 a 1.499,50 a 79,4.000 a 9.999,JAN,Sexta-feira,Bahia
471605,Internet,A,2023-04-12,163.92000000000002,173.512,Bebes,SP,11760,80,13982,até 500,80 ou mais,10.000 a 14.999,APR,Quarta-feira,São Paulo
52750,Internet,A,2023-03-21,103.92,115.91199999999999,Eletroportateis,SC,3332,52,10612,até 500,50 a 79,10.000 a 14.999,MAR,Terça-feira,Santa Catarina
128900,Mobile,A,2023-03-10,223.92,247.04000000000002,Utilidades_Domesticas,PE,27744,84,9962,até 500,80 ou mais,4.000 a 9.999,MAR,Sexta-feira,Pernambuco
218705,Internet,A,2023-02-18,33.6,36.0,Perfumaria,RJ,16234,66,8452,até 500,50 a 79,4.000 a 9.999,FEB,Sábado,Rio de Janeiro
254845,Aplicativo,B,2023-02-01,559.2,583.12,Moveis,PR,4239,37,10260,500 a 1.499,35 a 49,10.000 a 14.999,FEB,Quarta-feira,Paraná
294925,Internet,B,2023-01-08,57.528,65.52000000000001,Eletroportateis,RJ,5280,29,9458,até 500,20 a 34,4.000 a 9.999,JAN,Domingo,Rio de Janeiro
372615,Mobile,A,2023-04-03,43.92,53.512,Brinquedos,SP,3219,18,6132,até 500,até 20,4.000 a 9.999,APR,Segunda-feira,São Paulo
29885,Mobile,A,2023-02-27,284.928,292.91999999999996,Eletroportateis,CE,17108,56,4724,até 500,50 a 79,4.000 a 9.999,FEB,Segunda-feira,Ceará
57905,Aplicativo,B,2023-04-02,99.2,105.58399999999999,Bebes,MG,26118,23,6657,até 500,20 a 34,4.000 a 9.999,APR,Domingo,Minas Gerais
102755,Aplicativo,B,2023-04-05,255.92,266.24,Utilidades_Domesticas,AL,16674,40,12865,até 500,35 a 49,10.000 a 14.999,APR,Quarta-feira,Alagoas
117145,Aplicativo,A,2023-03-07,83.92,85.512,Bebes,SP,22218,32,13102,até 500,20 a 34,10.000 a 14.999,MAR,Terça-feira,São Paulo
163605,Mobile,A,2023-02-02,63.2,70.4,Perfumaria,BA,4029,54,5481,até 500,50 a 79,4.000 a 9.999,FEB,Quinta-feira,Bahia
413265,Mobile,A,2023-01-20,92.47999999999999,94.08,Bebes,RJ,13347,56,12684,até 500,50 a 79,10.000 a 14.999,JAN,Sexta-feira,Rio de Janeiro
426970,Aplicativo,A,2023-01-08,495.84,537.28,Automotivo,DF,23983,83,3083,até 500,80 ou mais,2.000 a 3.999,JAN,Domingo,Distrito Federal
450535,Internet,B,2023-02-04,295.91999999999996,307.84000000000003,Ar_e_Ventilacao,RJ,27133,89,12891,até 500,80 ou mais,10.000 a 14.999,FEB,Sábado,Rio de Janeiro
487345,Aplicativo,A,2023-02-14,63.92,66.312,Bebes,SP,18589,20,8768,até 500,20 a 34,4.000 a 9.999,FEB,Terça-feira,São Paulo
499025,Internet,A,2023-01-18,23.919999999999998,31.839999999999996,Produtos_de_Limpeza,ES,4423,47,2687,até 500,35 a 49,2.000 a 3.999,JAN,Quarta-feira,Espírito Santo
140545,Aplicativo,A,2023-02-24,175.92000000000002,185.512,Bebes,RJ,3469,52,4782,até 500,50 a 79,4.000 a 9.999,FEB,Sexta-feira,Rio de Janeiro
279295,Mobile,A,2023-01-13,103.92,114.31199999999998,Eletroportateis,SP,16979,84,4889,até 500,80 ou mais,4.000 a 9.999,JAN,Sexta-feira,São Paulo
40575,Internet,B,2023-01-25,87.92,90.24,Acessorios_e_Inovacoes,SP,8705,60,2843,até 500,50 a 79,2.000 a 3.999,JAN,Quarta-feira,São Paulo
90600,Mobile,B,2023-03-21,1743.2,1775.1200000000001,Esporte_e_Lazer,PR,8615,60,8563,1.500 a 2.999,50 a 79,4.000 a 9.999,MAR,Terça-feira,Paraná
93340,Aplicativo,A,2023-02-17,118.08,119.67999999999999,Bebes,RJ,22367,67,7662,até 500,50 a 79,4.000 a 9.999,FEB,Sexta-feira,Rio de Janeiro
148500,Internet,A,2023-02-12,40.56,42.144,Bebes,SP,14478,64,6198,até 500,50 a 79,4.000 a 9.999,FEB,Domingo,São Paulo
425975,Internet,A,2023-04-07,108.19200000000001,119.39200000000001,Perfumaria,SP,17126,70,2282,até 500,50 a 79,2.000 a 3.999,APR,Sexta-feira,São Paulo
481050,Aplicativo,B,2023-04-30,63.2,67.2,Perfumaria,SP,17113,69,5579,até 500,50 a 79,4.000 a 9.999,APR,Domingo,São Paulo
493465,Mobile,A,2023-02-20,105.52000000000001,107.112,Bebes,MT,14867,83,2987,até 500,80 ou mais,2.000 a 3.999,FEB,Segunda-feira,Mato Grosso
16490,Aplicativo,B,2023-02-06,959.2,967.1200000000001,Eletrodomesticos,SP,16522,25,1943,500 a 1.499,20 a 34,até 2000,FEB,Segunda-feira,São Paulo
68725,Mobile,B,2023-01-08,1447.92,1476.192,Games,PE,1969,55,10159,500 a 1.499,50 a 79,10.000 a 14.999,JAN,Domingo,Pernambuco
87335,Mobile,A,2023-03-30,391.2,399.12,Acessorios_e_Inovacoes,SP,26258,85,3564,até 500,80 ou mais,2.000 a 3.999,MAR,Quinta-feira,São Paulo
277255,Internet,A,2023-02-02,87.92,90.24,Acessorios_e_Inovacoes,RJ,20368,75,2736,até 500,50 a 79,2.000 a 3.999,FEB,Quinta-feira,Rio de Janeiro
402840,Aplicativo,B,2023-02-10,447.2,463.12,Eletrodomesticos,SC,27065,75,13550,até 500,50 a 79,10.000 a 14.999,FEB,Sexta-feira,Santa Catarina
151305,Aplicativo,A,2023-03-18,364.04,371.96,Moveis,MG,18598,67,12144,até 500,50 a 79,10.000 a 14.999,MAR,Sábado,Minas Gerais
366540,Internet,A,2023-03-01,99.92,103.112,Bebes,PR,5805,71,6698,até 500,50 a 79,4.000 a 9.999,MAR,Quarta-feira,Paraná
415200,Internet,B,2023-02-27,83.2,92.0,Produtos_de_Limpeza,PA,3937,21,9478,até 500,20 a 34,4.000 a 9.999,FEB,Segunda-feira,Pará
450690,Internet,A,2023-02-18,71.928,79.92,Eletroportateis,RJ,23197,61,6935,até 500,50 a 79,4.000 a 9.999,FEB,Sábado,Rio de Janeiro
153825,Mobile,A,2023-03-28,47.92,49.424,Brinquedos,RJ,16818,56,1783,até 500,50 a 79,até 2000,MAR,Terça-feira,Rio de Janeiro
426505,Mobile,A,2023-03-09,551.92,573.7520000000001,Ferramentas,RS,23296,26,7266,500 a 1.499,20 a 34,4.000 a 9.999,MAR,Quinta-feira,Rio Grande do Sul
447610,Internet,A,2023-03-09,31.919999999999998,51.839999999999996,Telefones_e_Celulares,RJ,22410,86,8569,até 500,80 ou mais,4.000 a 9.999,MAR,Quinta-feira,Rio de Janeiro
23270,Mobile,A,2023-02-04,719.2,791.12,Moveis,RJ,6609,42,8413,500 a 1.499,35 a 49,4.000 a 9.999,FEB,Sábado,Rio de Janeiro
76040,Mobile,B,2023-04-28,352.08000000000004,368.0,Acessorios_e_Inovacoes,MG,12961,65,12319,até 500,50 a 79,10.000 a 14.999,APR,Sexta-feira,Minas Gerais
184160,Mobile,B,2023-01-02,478.03999999999996,549.96,Moveis,MG,2236,18,9192,até 500,até 20,4.000 a 9.999,JAN,Segunda-feira,Minas Gerais
194080,Internet,A,2023-01-30,639.8399999999999,662.08,Automotivo,MG,10509,26,1969,500 a 1.499,20 a 34,até 2000,JAN,Segunda-feira,Minas Gerais
236900,Aplicativo,A,2023-01-06,79.92,83.912,Brinquedos,SC,18216,50,9028,até 500,50 a 79,4.000 a 9.999,JAN,Sexta-feira,Santa Catarina
287745,Aplicativo,B,2023-02-26,1039.2,1055.1200000000001,Telefones_e_Celulares,MA,11820,65,12939,500 a 1.499,50 a 79,10.000 a 14.999,FEB,Domingo,Maranhão
312290,Aplicativo,A,2023-02-11,127.92,141.07999999999998,Eletroportateis,RS,8604,30,9197,até 500,20 a 34,4.000 a 9.999,FEB,Sábado,Rio Grande do Sul
182060,Mobile,A,2023-01-28,24.72,26.312,Bebes,SP,27372,79,14213,até 500,50 a 79,10.000 a 14.999,JAN,Sábado,São Paulo
420775,Aplicativo,A,2023-04-20,99.2,107.992,Bebes,MG,4241,65,8085,até 500,50 a 79,4.000 a 9.999,APR,Quinta-feira,Minas Gerais
446400,Aplicativo,A,2023-01-12,743.92,759.112,Bebes,MG,4173,83,4607,500 a 1.499,80 ou mais,4.000 a 9.999,JAN,Quinta-feira,Minas Gerais
448195,Internet,B,2023-04-02,679.2,684.448,Telefones_e_Celulares,RJ,27481,71,4606,500 a 1.499,50 a 79,4.000 a 9.999,APR,Domingo,Rio de Janeiro
469830,Aplicativo,A,2023-01-06,79.99199999999999,87.98400000000001,Eletroportateis,PB,17617,77,7260,até 500,50 a 79,4.000 a 9.999,JAN,Sexta-feira,Paraíba
484625,Mobile,A,2023-02-06,167.92000000000002,169.512,Bebes,RJ,1803,24,8986,até 500,20 a 34,4.000 a 9.999,FEB,Segunda-feira,Rio de Janeiro
35175,Aplicativo,B,2023-02-22,799.2,854.4,Moveis,RJ,6013,46,9126,500 a 1.499,35 a 49,4.000 a 9.999,FEB,Quarta-feira,Rio de Janeiro
40430,Internet,B,2023-03-06,1473.136,1485.056,Eletrodomesticos,RJ,46,52,13020,500 a 1.499,50 a 79,10.000 a 14.999,MAR,Segunda-feira,Rio de Janeiro
101075,Internet,B,2023-02-02,2199.2,2239.12,Eletrodomesticos,SP,13380,33,4952,1.500 a 2.999,20 a 34,4.000 a 9.999,FEB,Quinta-feira,São Paulo
253045,Mobile,A,2023-02-08,48.0,52.8,Produtos_de_Limpeza,RS,7101,89,4968,até 500,80 ou mais,4.000 a 9.999,FEB,Quarta-feira,Rio Grande do Sul
308535,Aplicativo,A,2023-02-27,479.91999999999996,491.11199999999997,Bebes,RJ,19200,54,2164,até 500,50 a 79,2.000 a 3.999,FEB,Segunda-feira,Rio de Janeiro
327655,Internet,A,2023-03-28,183.2,190.392,Acessorios_e_Inovacoes,RJ,14013,71,5046,até 500,50 a 79,4.000 a 9.999,MAR,Terça-feira,Rio de Janeiro
43065,Internet,B,2023-02-04,61.52,69.088,Brinquedos,RS,26824,48,10005,até 500,35 a 49,10.000 a 14.999,FEB,Sábado,Rio Grande do Sul
94660,Internet,B,2023-03-20,351.2,359.12,Eletrodomesticos,SP,719,78,4531,até 500,50 a 79,4.000 a 9.999,MAR,Segunda-feira,São Paulo
125900,Mobile,B,2023-02-24,239.2,248.88000000000002,Games,SP,3584,80,11953,até 500,80 ou mais,10.000 a 14.999,FEB,Sexta-feira,São Paulo
